sample_bc	IRE	dIRE1	dIRE2	dIRE3	dIRE4	dIRE5	dIRE6	dIRE7	total	total_reads_w_nones	NONE	dire1_ov_ire_ratio	barcode	sample	treatment	experiment	plot_order
TSO_BC01	34204	997	2463	28	2386	94	23	24	40219	41479	1260	0.0291486375862472	BC01	M4272	2333	in_vivo_ssASOs	1
TSO_BC02	3100	64	182	0	142	7	1	2	3498	3567	69	0.0206451612903226	BC02	M4273	2333	in_vivo_ssASOs	2
TSO_BC03	12097	254	691	2	805	28	13	11	13901	14264	363	0.0209969413904274	BC03	M4281	2333	in_vivo_ssASOs	3
TSO_BC04	3473	112	275	1	243	8	1	4	4117	4335	218	0.0322487762741146	BC04	M4282	2333	in_vivo_ssASOs	4
TSO_BC05	18543	329	955	13	763	28	6	20	20657	21059	402	0.0177425443563609	BC05	M4283	2333	in_vivo_ssASOs	5
TSO_BC06	5261	79	287	6	315	8	1	5	5962	6156	194	0.0150161566242159	BC06	M4274	2332	in_vivo_ssASOs	6
TSO_BC07	22110	350	1965	17	1716	70	11	33	26272	27683	1411	0.0158299412030755	BC07	M4275	2332	in_vivo_ssASOs	7
TSO_BC08	5396	99	267	3	315	9	0	4	6093	6335	242	0.018346923647146	BC08	M4285	2332	in_vivo_ssASOs	8
TSO_BC09	15778	228	731	10	908	20	12	8	17695	18116	421	0.0144505006971733	BC09	M4286	2332	in_vivo_ssASOs	9
TSO_BC15	19958	1476	791	10	1027	26	4	8	23300	24139	839	0.0739553061429001	BC15	M4278	PBS	in_vivo_ssASOs	15
TSO_BC16	31329	3940	2460	40	2518	93	21	38	40439	42804	2365	0.125762073478247	BC16	M4279	PBS	in_vivo_ssASOs	16
TSO_BC17	32799	3920	2432	20	2343	77	33	41	41665	43521	1856	0.119515838897527	BC17	M4290	PBS	in_vivo_ssASOs	17
TSO_BC18	72860	9416	7133	67	5723	283	80	101	95663	99884	4221	0.129234147680483	BC18	M4291	PBS	in_vivo_ssASOs	18
TSO_BC19	28874	4561	2756	34	2198	96	45	41	38605	40518	1913	0.157962180508416	BC19	M4292	PBS	in_vivo_ssASOs	19
