Entity	mouse	treatment	Rep_1	Rep_2..	ave_fluor	treatment_2
19	M4274-OB	CR-2332	819	846	832.5	2332
20	M4275-OB	CR-2332	2439	2535	2487	2332
28	M4285-OB	CR-2332	2398	2322	2360	2332
29	M4286-OB	CR-2332	664	674	669	2332
17	M4272-OB	CR-2333	2196	2279	2237.5	2333
18	M4273-OB	CR-2333	520	525	522.5	2333
25	M4281-OB	CR-2333	1591	1638	1614.5	2333
26	M4282-OB	CR-2333	1953	1945	1949	2333
27	M4283-OB	CR-2333	676	669	672.5	2333
24	M4279-OB	PBS	3371	3315	3343	PBS
33	M4290-OB	PBS	2710	2739	2724.5	PBS
34	M4291-OB	PBS	3619	3670	3644.5	PBS
35	M4292-OB	PBS	3418	3400	3409	PBS
