sample_id	exp	conc_nm	ave_sample_dire1_ov_ire	ave_PBS_dire1_ov_ire	sample_ov_pbs	ASO_Conc
CR2327	TT18	2000	0.221177614938361	0.604882546525007	0.365653821901467	2000 nM
CR2327	TT19	2000	0.120240480961924	0.709649589680517	0.169436412999345	2000 nM
CR2327	TT20	2000	0.261132938643703	0.55017028428179	0.474640208866595	2000 nM
CR2327	TT21	2000	0.168865802748499	0.564345280842815	0.299224266563031	2000 nM
CR2327	TT30	2000	0.496905458089668	0.892216324916008	0.556933833436018	2000 nM
CR2327	TT18	200	0.194934849229641	0.56088687509816	0.347547532103556	200 nM
CR2327	TT19	200	0.214285714285714	0.672904799969429	0.318448782495606	200 nM
CR2327	TT20	200	0.386698712581289	0.651209969188223	0.593815713637392	200 nM
CR2327	TT21	200	0.146838398568347	0.540389370133437	0.271727029960061	200 nM
CR2327	TT30	200	0.555146253286591	0.849698766181041	0.653344779799655	200 nM
CR2327	TT18	20	0.291630430778293	0.538396738918445	0.541664556446113	20 nM
CR2327	TT19	20	0.394811199589006	0.698953952702489	0.564860099957197	20 nM
CR2327	TT20	20	0.419521897224573	0.626881947316245	0.669219936896565	20 nM
CR2327	TT21	20	0.217503618488985	0.472236999733406	0.460581484745527	20 nM
CR2327	TT30	20	0.648906304015701	0.756853999789314	0.857373158094345	20 nM
CR2327	TT18	2	0.542463164758287	0.542582647152415	0.999779789503488	2 nM
CR2327	TT19	2	0.66723259762309	0.732414853058057	0.911003640678761	2 nM
CR2327	TT20	2	0.50712954932791	0.498450913839286	1.01741121391829	2 nM
CR2327	TT21	2	0.413352953922286	0.434747790970479	0.950787933849109	2 nM
CR2327	TT30	2	0.837054862023653	0.76994393135764	1.08716339973961	2 nM
CR2331	TT18	2000	0.32214276951119	0.604882546525007	0.532570779834647	2000 nM
CR2331	TT20	2000	0.242331288343558	0.55017028428179	0.440465970749229	2000 nM
CR2331	TT21	2000	0.161194919302808	0.564345280842815	0.285631730741282	2000 nM
CR2331	TT25	2000	0.247080088987765	0.672384870886166	0.367468245771394	2000 nM
CR2331	TT30	2000	0.332180325121502	0.892216324916008	0.372309176423972	2000 nM
CR2331	TT18	200	0.449781671892225	0.56088687509816	0.801911565168127	200 nM
CR2331	TT20	200	0.492209072978304	0.651209969188223	0.755837742459434	200 nM
CR2331	TT21	200	0.234608885441808	0.540389370133437	0.434147854136873	200 nM
CR2331	TT25	200	0.577335025380711	0.831404022919128	0.694409708716155	200 nM
CR2331	TT30	200	0.389141414141414	0.849698766181041	0.457975731670654	200 nM
CR2331	TT18	20	0.491422087861333	0.538396738918445	0.912750862586061	20 nM
CR2331	TT20	20	0.438843457943925	0.626881947316245	0.700041626374256	20 nM
CR2331	TT21	20	0.310109611355618	0.472236999733406	0.656682156482202	20 nM
CR2331	TT25	20	0.402153835547977	0.716230873592244	0.561486317297356	20 nM
CR2331	TT30	20	0.645347757451946	0.756853999789314	0.85267139716721	20 nM
CR2331	TT18	2	0.679353541195647	0.542582647152415	1.25207384489908	2 nM
CR2331	TT20	2	0.423012987012987	0.498450913839286	0.848655254245111	2 nM
CR2331	TT21	2	0.379948422473827	0.434747790970479	0.873951358385687	2 nM
CR2331	TT25	2	0.511050956481729	0.606255427307648	0.842963103441865	2 nM
CR2331	TT30	2	0.873789346246973	0.76994393135764	1.13487399622233	2 nM
CR2332	TT18	2000	0.213765433334	0.604882546525007	0.353399903108566	2000 nM
CR2332	TT20	2000	0.149660633484163	0.55017028428179	0.272026021324534	2000 nM
CR2332	TT21	2000	0.0873434395690866	0.564345280842815	0.154769504652621	2000 nM
CR2332	TT30	2000	0.316076294277929	0.892216324916008	0.354259707484823	2000 nM
CR2332	TT18	200	0.344066796058808	0.56088687509816	0.61343349494244	200 nM
CR2332	TT20	200	0.349991037552654	0.651209969188223	0.537447296743539	200 nM
CR2332	TT21	200	0.203194091987196	0.540389370133437	0.376014228290652	200 nM
CR2332	TT30	200	0.41616818757368	0.849698766181041	0.489783208046944	200 nM
CR2332	TT18	20	0.513548873115812	0.538396738918445	0.953848409534299	20 nM
CR2332	TT20	20	0.517094327912412	0.626881947316245	0.824867154216441	20 nM
CR2332	TT21	20	0.371530208350215	0.472236999733406	0.786745232923207	20 nM
CR2332	TT18	2	0.586714603663756	0.542582647152415	1.08133683733336	2 nM
CR2332	TT20	2	0.537293255770493	0.498450913839286	1.07792611238693	2 nM
CR2332	TT21	2	0.451474206004671	0.434747790970479	1.03847383559294	2 nM
CR2332	TT30	2	0.840388619014573	0.76994393135764	1.09149326955889	2 nM
CR2333	TT18	2000	0.116585288297239	0.604882546525007	0.192740374089169	2000 nM
CR2333	TT20	2000	0.105439595192916	0.55017028428179	0.191649018867968	2000 nM
CR2333	TT21	2000	0.0519516637701424	0.564345280842815	0.0920565220153091	2000 nM
CR2333	TT25	2000	0.204662544474225	0.672384870886166	0.304383030219718	2000 nM
CR2333	TT30	2000	0.116178229665072	0.892216324916008	0.130213073243206	2000 nM
CR2333	TT33	2000	0.107692307692308	0.914438095238095	0.117768833399562	2000 nM
CR2333	TT34	2000	0.116883116883117	0.840925952277993	0.138993351990732	2000 nM
CR2333	TT18	200	0.32882460483572	0.56088687509816	0.586258333782856	200 nM
CR2333	TT20	200	0.276736924277908	0.651209969188223	0.424958058647166	200 nM
CR2333	TT21	200	0.179076884630083	0.540389370133437	0.33138491341135	200 nM
CR2333	TT25	200	0.198138618992097	0.831404022919128	0.238318090278678	200 nM
