ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
PBS	BC01	PBS_2000nm_1	2000	TT18	1	3754	1199	213	1678	137	527	0.446989877464038	0.319392647842302	PBS
CR-AA-02327	BC02	CR2327_2000nm_1	2000	TT18	1	1134	242	72	627	34	159	0.552910052910053	0.213403880070547	2327
CR-AA-02331	BC06	CR2331_2000nm_1	2000	TT18	1	934	226	52	471	21	164	0.504282655246253	0.241970021413276	2331
CR-AA-02332	BC07	CR2332_2000nm_1	2000	TT18	1	943	210	59	502	24	148	0.532343584305408	0.222693531283139	2332
CR-EX-00001	BC08	EX-00001_2000nm_1	2000	TT18	1	432	144	34	177	12	65	0.409722222222222	0.333333333333333	EX-00001
PBS	BC09	PBS_200nm_1	200	TT18	1	4244	1426	245	1765	173	635	0.415881244109331	0.336003770028275	PBS
CR-AA-02327	BC10	CR2327_200nm_1	200	TT18	1	1575	334	58	925	24	234	0.587301587301587	0.212063492063492	2327
CR-AA-02331	BC14	CR2331_200nm_1	200	TT18	1	3259	909	200	1542	92	516	0.473151273396747	0.278919914084075	2331
CR-AA-02332	BC15	CR2332_200nm_1	200	TT18	1	1433	371	117	680	42	223	0.474528960223308	0.258897418004187	2332
CR-EX-00001	BC16	EX-00001_200nm_1	200	TT18	1	3699	1319	171	1629	110	470	0.440389294403893	0.356582860232495	EX-00001
PBS	BC17	PBS_20nm_1	20	TT18	1	3253	1023	165	1493	124	448	0.458960959114663	0.314478942514602	PBS
CR-AA-02327	BC18	CR2327_20nm_1	20	TT18	1	7305	1702	378	3887	160	1178	0.532101300479124	0.232991101984942	2327
CR-AA-02331	BC22	CR2331_20nm_1	20	TT18	1	843	232	93	400	28	90	0.474495848161329	0.275207591933571	2331
CR-AA-02332	BC23	CR2332_20nm_1	20	TT18	1	14173	4159	934	6390	513	2177	0.450857263811473	0.29344528328512	2332
CR-EX-00001	BC24	EX-00001_20nm_1	20	TT18	1	2344	751	162	1028	76	327	0.438566552901024	0.320392491467577	EX-00001
PBS	BC25	PBS_2nm_1	2	TT18	1	2924	909	127	1378	113	397	0.471272229822161	0.310875512995896	PBS
CR-AA-02327	BC26	CR2327_2nm_1	2	TT18	1	6012	1780	338	2765	233	896	0.459913506320692	0.296074517631404	2327
CR-AA-02331	BC30	CR2331_2nm_1	2	TT18	1	917	312	63	406	38	98	0.442748091603053	0.340239912758997	2331
CR-AA-02332	BC31	CR2332_2nm_1	2	TT18	1	1414	443	77	647	47	200	0.457567185289958	0.313295615275813	2332
CR-EX-00001	BC32	EX-00001_2nm_1	2	TT18	1	2861	866	180	1354	90	371	0.47326109751835	0.302691366655016	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm_2	2000	TT18	1	4537	1515	263	2012	180	567	0.443464844610976	0.333921093233414	EX-00001
CR-AA-02333	BC34	CR2333_2000nm_1	2000	TT18	1	3115	472	220	1845	51	527	0.592295345104334	0.151524879614767	2333
CR-AA-02327	BC36	CR2327_2000nm_2	2000	TT18	1	2046	439	100	1133	40	334	0.553763440860215	0.214565004887586	2327
PBS	BC39	PBS_2000nm_2	2000	TT18	1	3838	1170	241	1796	150	481	0.467952058363731	0.304846274101094	PBS
CR-EX-00001	BC41	EX-00001_200nm_2	200	TT18	1	2534	867	152	1119	102	294	0.441594317284925	0.34214680347277	EX-00001
CR-AA-02333	BC42	CR2333_200nm_1	200	TT18	1	12080	2901	976	6030	291	1882	0.499172185430464	0.240149006622517	2333
CR-AA-02327	BC44	CR2327_200nm_2	200	TT18	1	6086	1272	465	3089	162	1098	0.507558330594808	0.209004272099901	2327
PBS	BC47	PBS_200nm_2	200	TT18	1	6664	2117	392	2935	279	941	0.440426170468187	0.317677070828331	PBS
CR-EX-00001	BC49	EX-00001_20nm_2	20	TT18	1	2994	1025	156	1316	111	386	0.439545758183033	0.342351369405478	EX-00001
CR-AA-02333	BC50	CR2333_20nm_1	20	TT18	1	5581	1868	375	2459	212	667	0.440602042644687	0.334707041748791	2333
CR-AA-02327	BC52	CR2327_20nm_2	20	TT18	1	3339	767	199	1784	100	489	0.534291704103025	0.229709493860437	2327
PBS	BC55	PBS_20nm_2	20	TT18	1	3864	1335	182	1767	127	453	0.457298136645963	0.345496894409938	PBS
CR-EX-00001	BC57	EX-00001_2nm_2	2	TT18	1	2000	629	122	877	69	303	0.4385	0.3145	EX-00001
CR-AA-02333	BC58	CR2333_2nm_1	2	TT18	1	5174	1724	272	2326	166	686	0.449555469655972	0.333204483958253	2333
CR-AA-02327	BC60	CR2327_2nm_2	2	TT18	1	8605	2526	546	4065	289	1179	0.47239976757699	0.293550261475886	2327
PBS	BC63	PBS_2nm_2	2	TT18	1	1059	326	57	497	38	141	0.469310670443815	0.307837582625118	PBS
PBS	BC65	PBS_2000nm_3	2000	TT18	1	1414	489	64	631	59	171	0.446251768033946	0.345827439886846	PBS
CR-AA-02331	BC67	CR2331_2000nm_2	2000	TT18	1	2057	462	141	1104	53	297	0.536703937773456	0.224598930481283	2331
CR-AA-02332	BC68	CR2332_2000nm_2	2000	TT18	1	3121	619	189	1782	75	456	0.570970842678629	0.198333867350208	2332
CR-AA-02333	BC69	CR2333_2000nm_2	2000	TT18	1	4680	736	404	2552	88	900	0.545299145299145	0.157264957264957	2333
PBS	BC73	PBS_200nm_3	200	TT18	1	5614	1776	311	2534	202	791	0.451371571072319	0.316351977199858	PBS
CR-AA-02331	BC75	CR2331_200nm_2	200	TT18	1	4504	1236	250	2235	165	618	0.496225577264654	0.274422735346359	2331
CR-AA-02332	BC76	CR2332_200nm_2	200	TT18	1	8325	1952	461	4532	189	1191	0.544384384384384	0.234474474474474	2332
CR-AA-02333	BC77	CR2333_200nm_2	200	TT18	1	9883	2288	524	5308	232	1531	0.537083881412527	0.231508651219265	2333
PBS	BC81	PBS_20nm_3	20	TT18	1	16977	5352	969	7812	568	2276	0.460151970312776	0.315250044177416	PBS
CR-AA-02331	BC83	CR2331_20nm_2	20	TT18	1	3783	1141	170	1851	104	517	0.489294210943695	0.301612476870209	2331
CR-AA-02332	BC84	CR2332_20nm_2	20	TT18	1	1204	351	77	595	37	144	0.494186046511628	0.291528239202658	2332
CR-AA-02333	BC85	CR2333_20nm_2	20	TT18	1	4192	1192	265	1992	154	589	0.475190839694656	0.284351145038168	2333
PBS	BC89	PBS_2nm_3	2	TT18	1	3458	1179	182	1493	145	459	0.431752458068248	0.340948525159051	PBS
CR-AA-02331	BC91	CR2331_2nm_2	2	TT18	1	2812	907	181	1254	112	358	0.445945945945946	0.322546230440967	2331
CR-AA-02332	BC92	CR2332_2nm_2	2	TT18	1	944	285	57	426	39	137	0.451271186440678	0.301906779661017	2332
CR-AA-02333	BC93	CR2333_2nm_2	2	TT18	1	7311	2167	409	3403	245	1087	0.465463000957461	0.296402680891807	2333
PBS	BC01	PBS_2000nM_1	2000	TT18	2	1972	604	92	996	50	230	0.505070993914807	0.306288032454361	PBS
PBS	BC09	PBS_200nM_1	200	TT18	2	571	176	30	290	18	57	0.507880910683012	0.308231173380035	PBS
CR-EX-00001	BC16	EX-00001_200nM_1	200	TT18	2	322	96	28	156	10	32	0.484472049689441	0.298136645962733	EX-00001
PBS	BC17	PBS_20nM_1	20	TT18	2	538	148	38	276	18	58	0.513011152416357	0.275092936802974	PBS
CR-EX-00001	BC24	EX-00001_20nM_1	20	TT18	2	728	246	36	342	19	85	0.46978021978022	0.337912087912088	EX-00001
PBS	BC25	PBS_2nM_1	2	TT18	2	547	148	37	303	10	49	0.553930530164534	0.270566727605119	PBS
CR-EX-00001	BC32	EX-00001_2nM_1	2	TT18	2	1169	384	66	561	29	129	0.479897348160821	0.328485885372113	EX-00001
CR-EX-00001	BC33	EX-00001_2000nM_2	2000	TT18	2	356	109	39	160	10	38	0.449438202247191	0.306179775280899	EX-00001
CR-AA-02327	BC37	CR2327_2000nM_1	2000	TT18	2	760	181	39	431	12	97	0.567105263157895	0.238157894736842	2327
PBS	BC39	PBS_2000nM_2	2000	TT18	2	1450	427	100	685	56	182	0.472413793103448	0.29448275862069	PBS
CR-EX-00001	BC41	EX-00001_200nM_2	200	TT18	2	290	84	20	136	13	37	0.468965517241379	0.289655172413793	EX-00001
CR-AA-02327	BC45	CR2327_200nM_1	200	TT18	2	405	60	35	238	14	58	0.587654320987654	0.148148148148148	2327
PBS	BC47	PBS_200nM_2	200	TT18	2	353	55	54	188	5	51	0.53257790368272	0.155807365439093	PBS
CR-EX-00001	BC49	EX-00001_20nM_2	20	TT18	2	338	108	21	171	9	29	0.505917159763314	0.319526627218935	EX-00001
