Barcode	SampleName	ASO	Dose	Experiment	Plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
BC01	PBS_2000nm_1	PBS	2000	TT18	1	3754	1199	213	1678	137	527	0.446989877464038	0.319392647842302	PBS
BC08	EX-00001_2000nm_1	EX-00001	2000	TT18	1	432	144	34	177	12	65	0.409722222222222	0.333333333333333	EX-00001
BC09	PBS_200nm_1	PBS	200	TT18	1	4244	1426	245	1765	173	635	0.415881244109331	0.336003770028275	PBS
BC16	EX-00001_200nm_1	EX-00001	200	TT18	1	3699	1319	171	1629	110	470	0.440389294403893	0.356582860232495	EX-00001
BC17	PBS_20nm_1	PBS	20	TT18	1	3253	1023	165	1493	124	448	0.458960959114663	0.314478942514602	PBS
BC24	EX-00001_20nm_1	EX-00001	20	TT18	1	2344	751	162	1028	76	327	0.438566552901024	0.320392491467577	EX-00001
BC25	PBS_2nm_1	PBS	2	TT18	1	2924	909	127	1378	113	397	0.471272229822161	0.310875512995896	PBS
BC32	EX-00001_2nm_1	EX-00001	2	TT18	1	2861	866	180	1354	90	371	0.47326109751835	0.302691366655016	EX-00001
BC33	EX-00001_2000nm_2	EX-00001	2000	TT18	1	4537	1515	263	2012	180	567	0.443464844610976	0.333921093233414	EX-00001
BC39	PBS_2000nm_2	PBS	2000	TT18	1	3838	1170	241	1796	150	481	0.467952058363731	0.304846274101094	PBS
BC41	EX-00001_200nm_2	EX-00001	200	TT18	1	2534	867	152	1119	102	294	0.441594317284925	0.34214680347277	EX-00001
BC47	PBS_200nm_2	PBS	200	TT18	1	6664	2117	392	2935	279	941	0.440426170468187	0.317677070828331	PBS
BC49	EX-00001_20nm_2	EX-00001	20	TT18	1	2994	1025	156	1316	111	386	0.439545758183033	0.342351369405478	EX-00001
BC55	PBS_20nm_2	PBS	20	TT18	1	3864	1335	182	1767	127	453	0.457298136645963	0.345496894409938	PBS
BC57	EX-00001_2nm_2	EX-00001	2	TT18	1	2000	629	122	877	69	303	0.4385	0.3145	EX-00001
BC63	PBS_2nm_2	PBS	2	TT18	1	1059	326	57	497	38	141	0.469310670443815	0.307837582625118	PBS
BC65	PBS_2000nm_3	PBS	2000	TT18	1	1414	489	64	631	59	171	0.446251768033946	0.345827439886846	PBS
